,Faraday depth,Real FDF,Imag FDF,Abs FDF,chi FDF
207,-979.2989649482474,0.0,0.0,0.0,0.0
208,-979.1989599479974,0.0,0.0,0.0,0.0
209,-979.0989549477474,0.0,0.0,0.0,0.0
210,-978.9989499474974,0.0,0.0,0.0,0.0
211,-978.8989449472474,0.0,0.0,0.0,0.0
212,-978.7989399469974,0.0,0.0,0.0,0.0
213,-978.6989349467474,0.0,0.0,0.0,0.0
214,-978.5989299464974,0.0,0.0,0.0,0.0
215,-978.4989249462473,0.0,0.0,0.0,0.0
216,-978.3989199459972,0.0,0.0,0.0,0.0
217,-978.2989149457472,0.0,0.0,0.0,0.0
218,-978.1989099454972,0.0,0.0,0.0,0.0
219,-978.0989049452472,0.0,0.0,0.0,0.0
220,-977.9988999449972,0.0,0.0,0.0,0.0
221,-977.8988949447472,0.0,0.0,0.0,0.0
222,-977.7988899444972,0.0,0.0,0.0,0.0
223,-977.6988849442472,0.0,0.0,0.0,0.0
224,-977.5988799439972,0.0,0.0,0.0,0.0
225,-977.4988749437472,0.0,0.0,0.0,0.0
226,-977.3988699434972,0.0,0.0,0.0,0.0
227,-977.2988649432472,0.0,0.0,0.0,0.0
228,-977.1988599429972,0.0,0.0,0.0,0.0
229,-977.0988549427472,0.0,0.0,0.0,0.0
230,-976.9988499424971,0.0,0.0,0.0,0.0
231,-976.8988449422471,0.0,0.0,0.0,0.0
232,-976.7988399419971,0.0,0.0,0.0,0.0
233,-976.6988349417471,0.0,0.0,0.0,0.0
234,-976.5988299414971,0.0,0.0,0.0,0.0
235,-976.4988249412471,0.0,0.0,0.0,0.0
236,-976.3988199409971,0.0,0.0,0.0,0.0
237,-976.298814940747,0.0,0.0,0.0,0.0
238,-976.198809940497,0.0,0.0,0.0,0.0
239,-976.098804940247,0.0,0.0,0.0,0.0
240,-975.998799939997,0.0,0.0,0.0,0.0
241,-975.898794939747,0.0,0.0,0.0,0.0
242,-975.7987899394969,0.0,0.0,0.0,0.0
243,-975.6987849392469,0.0,0.0,0.0,0.0
244,-975.5987799389969,0.0,0.0,0.0,0.0
245,-975.4987749387469,0.0,0.0,0.0,0.0
246,-975.3987699384969,0.0,0.0,0.0,0.0
247,-975.2987649382469,0.0,0.0,0.0,0.0
248,-975.1987599379969,0.0,0.0,0.0,0.0
249,-975.0987549377469,0.0,0.0,0.0,0.0
250,-974.9987499374969,0.0,0.0,0.0,0.0
251,-974.8987449372469,0.0,0.0,0.0,0.0
252,-974.7987399369969,0.0,0.0,0.0,0.0
253,-974.6987349367469,0.0,0.0,0.0,0.0
